Name	ID	Label	Len	S	SW	p	q	d	sp	sq	sd	Pmax	a	b	c	d	
wt	_seg_1_:10	normal;ascus;	36	0	+0.000	0	0	0	0	1	0	+180.072	+1.218	-0.001	+0.243	+7.342	
wt	_seg_2_:10	normal;ascus;	44	0	+0.000	1	0	0	0	1	0	+122.776	+0.065	-0.001	+1.717	-11.912	
wt	11	_none_	181	2	+0.040	3	1	0	0	1	1	+168.818	+0.021	-0.001	+0.902	-2.621	
wt	_seg_0_:11	_none_	52	0	+0.040	1	0	0	0	1	0	+170.595	-8.705	+0.039	+0.454	+2.506	
wt	_seg_1_:11	_none_	120	0	+0.040	0	1	0	0	1	1	+160.064	+0.005	-0.001	+0.826	-12.738	
wt	12	_none_	181	1	+0.203	2	2	0	0	1	1	+220.496	+0.001	-0.001	+0.788	+130.079	
wt	_seg_0_:12	_none_	176	0	+0.203	0	5	0	0	1	1	+220.496	-0.007	-0.001	+0.918	+50.403	
wt	15	ascus;normal;	176	2	+0.000	1	2	0	0	1	0	+158.887	+0.081	-0.001	+1.887	-15.382	
wt	_seg_0_:15	ascus;normal;	36	0	+0.000	0	0	0	0	1	0	+154.347	+8.550	-0.001	+0.506	+5.436	
wt	_seg_1_:15	ascus;normal;	128	0	+0.000	0	0	0	0	1	1	+213.419	+0.006	-0.001	+0.128	+227.351	
wt	17	_none_	181	3	+0.070	1	3	0	0	1	1	+166.220	-0.002	-0.001	+0.798	+49.070	
wt	_seg_0_:17	_none_	80	0	+0.070	0	2	0	0	1	1	+165.583	+0.019	-0.001	+1.313	-23.323	
wt	_seg_1_:17	_none_	48	0	+0.070	0	0	0	0	1	1	+151.640	-0.017	-0.001	+0.803	+13.536	
wt	_seg_2_:17	_none_	40	0	+0.070	2	1	0	0	1	1	+200.080	-0.099	-0.001	+4.212	+27.533	
wt	20	_none_	176	2	+0.211	2	1	0	0	1	1	+152.174	-0.013	-0.001	+2.485	+159.010	
