frame,y,x,minor,area,convexity,perimeter,major,circularity,frame,particle
102,542.6419999999999,470.952,25.049,1424,0.667,443.411,72.381,0.091,102,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
103,543.466,471.165,25.965999999999998,1455,0.6970000000000001,438.38199999999995,71.346,0.095,103,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
104,543.499,469.35699999999997,19.927,922,0.561,411.16900000000004,58.91,0.069,104,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
105,544.27,471.289,22.204,1108,0.64,386.056,63.536,0.09300000000000001,105,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
106,544.439,471.385,22.844,1074,0.6459999999999999,332.115,59.86,0.122,106,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
107,544.3480000000001,471.575,27.592,1445,0.727,375.81300000000005,66.68,0.129,107,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
108,545.182,473.82,27.079,1338,0.7070000000000001,338.25699999999995,62.912,0.147,108,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
109,545.0459999999999,474.228,27.616999999999997,1439,0.745,351.57099999999997,66.343,0.146,109,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
110,544.845,474.349,25.776,1222,0.726,300.659,60.361000000000004,0.17,110,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
111,545.314,473.73800000000006,28.217,1489,0.7190000000000001,357.32800000000003,67.188,0.147,111,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
112,544.655,474.065,25.096,1193,0.682,358.156,60.527,0.11699999999999999,112,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
113,546.3240000000001,474.725,29.691,1489,0.77,315.04400000000004,63.854,0.18899999999999997,113,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
114,546.102,475.07300000000004,24.872,1175,0.6809999999999999,344.6,60.151,0.124,114,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
115,544.894,474.93300000000005,25.726,1140,0.701,319.144,56.422,0.141,115,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
116,544.005,474.075,29.525,1402,0.7490000000000001,309.487,60.458999999999996,0.184,116,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
117,544.031,473.381,24.28,1131,0.696,322.558,59.309,0.13699999999999998,117,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
118,543.753,472.44300000000004,25.241999999999997,1146,0.733,293.73,57.806000000000004,0.16699999999999998,118,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
119,545.028,473.337,29.98,1457,0.784,331.63,61.879,0.166,119,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
120,545.558,473.211,29.351999999999997,1368,0.782,298.274,59.342,0.193,120,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
121,543.9159999999999,471.806,25.816,1106,0.715,280.17400000000004,54.548,0.177,121,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
122,543.6030000000001,471.26199999999994,25.561,1101,0.6890000000000001,290.17400000000004,54.843,0.16399999999999998,122,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
123,545.346,469.99300000000005,25.566999999999997,1165,0.7090000000000001,329.973,58.016000000000005,0.134,123,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
124,543.442,468.01,24.326,1086,0.664,357.671,56.841,0.107,124,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
125,544.112,468.49699999999996,29.855999999999998,1473,0.7709999999999999,287.345,62.818000000000005,0.22399999999999998,125,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
126,543.2819999999999,469.69,30.754,1440,0.76,344.94300000000004,59.618,0.152,126,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
127,544.685,470.98800000000006,32.202,1466,0.7709999999999999,321.286,57.965,0.17800000000000002,127,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
128,544.9119999999999,471.517,27.293000000000003,1130,0.706,307.487,52.716,0.15,128,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
129,546.193,472.26099999999997,27.767,1137,0.715,329.144,52.136,0.132,129,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
130,544.592,471.599,26.816999999999997,1109,0.6990000000000001,316.215,52.653999999999996,0.139,130,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
131,545.188,470.44199999999995,26.193,1076,0.7040000000000001,317.245,52.303999999999995,0.134,131,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
132,544.411,470.342,31.031999999999996,1389,0.768,324.801,56.99,0.165,132,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
133,543.8580000000001,471.07800000000003,30.901,1407,0.7559999999999999,353.772,57.974,0.141,133,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
134,542.946,471.05800000000005,25.219,994,0.6829999999999999,373.227,50.184,0.09,134,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
135,542.966,469.775,26.023000000000003,1017,0.7070000000000001,308.073,49.75899999999999,0.135,135,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
136,543.9580000000001,470.369,31.249000000000002,1390,0.759,302.416,56.636,0.191,136,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
137,543.5509999999999,471.344,31.87,1377,0.753,319.245,55.013000000000005,0.17,137,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
138,544.489,472.08,30.44,1316,0.7759999999999999,281.58799999999997,55.04600000000001,0.209,138,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
139,544.16,472.721,32.414,1364,0.759,321.04400000000004,53.57899999999999,0.166,139,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
140,544.6990000000001,472.78,28.480999999999998,1053,0.716,299.245,47.074,0.14800000000000002,140,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
141,544.547,472.108,33.249,1381,0.758,301.345,52.883,0.191,141,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
142,543.751,470.82599999999996,29.168000000000003,1062,0.742,288.517,46.358999999999995,0.16,142,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
143,544.501,470.329,28.85,1048,0.705,287.103,46.251999999999995,0.16,143,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
144,544.216,471.074,32.321,1289,0.743,315.83099999999996,50.778999999999996,0.162,144,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
145,543.7080000000001,471.736,32.373000000000005,1310,0.765,314.073,51.522,0.16699999999999998,145,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
